vin,perc_days,avg_daily_max,avg_daily_mean,overall_max,overall_mean,mean_day_length_g,mean_day_length_r_g,mean_drive_length_r_g,mean_drive_length_g
ZHWEA6ZX3MLA18013,0.1366906474820144,170.17205479452053,61.52767123287671,227,61.52767123287671,2972,574.421052631579,214,1981.3333333333333
ZHWEA6ZX3NLA18112,0.128,104.54506128334535,36.490266762797404,184,36.490266762797404,2752.6666666666665,743.8666666666667,318.8,2064.5
ZHWEA6ZX3NLA18126,0.13821138211382114,79.1270815074496,34.38212094653812,118,34.38212094653812,2409,425.1764705882353,172.0952380952381,2409
ZHWEA6ZX3NLA18157,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZHWEA6ZX3NLA18224,0.2682926829268293,156.81037703190015,60.79601513374281,196.34,60.79601513374282,4656.166666666667,1688.095238095238,553.90625,1995.5
ZHWEA6ZX3NLA18336,0.19402985074626866,66.47175794520548,20.168236780821918,96.5606,20.168236780821918,1822,298.38461538461536,107.75,911
ZHWEA6ZX3NLA18501,0.17391304347826086,150.87118644067797,57.4135593220339,167,57.4135593220339,2642,480.5,167.1304347826087,2642
ZHWEA6ZX3NLA18594,0.24242424242424243,89.78592375366568,41.56598240469208,111,41.56598240469208,1186,376.125,136.77272727272728,1186
ZHWEA6ZX3NLA18711,0.47368421052631576,135.6590909090909,34.224747474747474,181,34.224747474747474,2014.5,1019.375,239.85294117647058,2014.5
ZHWEA6ZX3NLA18756,0.3157894736842105,140.0188261351052,60.46290143964563,153,60.46290143964563,4120,868.5,325.6875,2060
ZHWEA6ZX3NLA18806,0.3333333333333333,156.6569200779727,56.026315789473685,166,56.026315789473685,2101,1306.25,580.5555555555555,2101
ZHWEA6ZX3NLA18840,0.5,116.60787401574804,57.4,122,57.4,1593,640.3333333333334,384.2,1593
ZHWEA6ZX4MLA16447,0.3763837638376384,226.01837185146715,75.93930148013503,303,75.93930148013503,6713,3940.7227722772277,932.1147540983607,2325.763779527559
ZHWEA6ZX4MLA17551,0.057971014492753624,49.69009584664537,13.728434504792332,84,13.728434504792332,495.6666666666667,249.72727272727272,114.45833333333333,297.4
ZHWEA6ZX4MLA17596,0.12437810945273632,105.80171884591775,36.843462246777165,185,36.843462246777165,2073.5,488.75,160.68493150684932,829.4
ZHWEA6ZX4MLA17632,0.3282051282051282,221.0912678962982,68.63469624661421,311,68.63469624661421,6235.096774193548,4160.841269841269,1008.2038461538461,2357.170731707317
ZHWEA6ZX4MLA17680,0.20105820105820105,174.7468098035244,46.30301802714199,265,46.30301802714199,2065.4166666666665,918.6052631578947,300.92241379310343,1239.25
ZHWEA6ZX4MLA17694,0.11290322580645161,108.2409402546523,38.74730656219393,172,38.74730656219393,1788,368.14285714285717,157.77551020408163,1788
ZHWEA6ZX4MLA17727,0.17582417582417584,151.8233962264151,50.03748427672956,197,50.03748427672956,6012.333333333333,782.25,298,858.9047619047619
